"x" "y"
"383" 383 -15.9
"384" 384 -13.1
"385" 385 -12.8
"386" 386 -9.5
"387" 387 -2.8
"388" 388 -7.5
"389" 389 -5
"390" 390 -3.7
"391" 391 -6.7
"392" 392 -7.5
"393" 393 -18.1
"394" 394 -21.7
"395" 395 -18.1
"396" 396 -23.9
"397" 397 -26.7
"398" 398 -25
"399" 399 -10.6
"400" 400 -5
"401" 401 0.8
"402" 402 -13.4
"403" 403 -17.8
"404" 404 -13.9
"405" 405 -11.7
"406" 406 -18.3
"407" 407 -20.3
"408" 408 -16.1
"409" 409 -10
"410" 410 -8.1
"411" 411 -10.9
"412" 412 -9.5
"413" 413 -7.8
"414" 414 -16.2
"415" 415 -13.7
"416" 416 -7.8
"417" 417 -10
"418" 418 -5.6
"419" 419 -3.6
"420" 420 -13.9
"421" 421 -15.9
"422" 422 -4.5
"423" 423 1.4
"424" 424 -1.4
"425" 425 -9.8
"426" 426 -14.8
"427" 427 -13.6
"428" 428 -9.2
"429" 429 -2
"430" 430 -1.1
"431" 431 -2.8
"432" 432 -3.4
"433" 433 -5.9
"434" 434 -2.2
"435" 435 -2.2
"436" 436 -0.6
"437" 437 -0.8
"438" 438 -0.6
"439" 439 1.7
"440" 440 0.3
"441" 441 1.2
"442" 442 -1.4
"443" 443 -3.1
"444" 444 -1.4
"445" 445 0.6
"446" 446 2.2
"447" 447 -2
"448" 448 1.1
"449" 449 3.9
"450" 450 3.6
"451" 451 3.3
"452" 452 5.6
"453" 453 9.2
"454" 454 13.1
"455" 455 2.8
"456" 456 1.1
"457" 457 -2.8
"458" 458 -3.1
"459" 459 0.3
"460" 460 5
"461" 461 6.4
"462" 462 5
"463" 463 6.7
"464" 464 7.3
"465" 465 3.9
"466" 466 3.9
"467" 467 6.1
"468" 468 4.2
"469" 469 2.2
"470" 470 2.2
"471" 471 3.1
"472" 472 3.9
"473" 473 4.5
"474" 474 7.3
"475" 475 7.8
"476" 476 9.8
"477" 477 10.9
"478" 478 5.6
"479" 479 3.4
"480" 480 3.6
"481" 481 7
"482" 482 12.8
"483" 483 17
"484" 484 9.5
"485" 485 7.8
"486" 486 11.4
"487" 487 10
"488" 488 12
"489" 489 9.8
"490" 490 12.2
"491" 491 13.3
"492" 492 6.7
"493" 493 5.3
"494" 494 9.2
"495" 495 11.7
"496" 496 8.6
"497" 497 11.4
"498" 498 13.3
"499" 499 11.4
"500" 500 14.7
"501" 501 18.7
"502" 502 22.8
"503" 503 25.6
"504" 504 26.4
"505" 505 17.8
"506" 506 17
"507" 507 13.9
"508" 508 13.6
"509" 509 18.1
"510" 510 16.1
"511" 511 14.2
"512" 512 13.9
"513" 513 15.3
"514" 514 18.4
"515" 515 22.2
"516" 516 23.4
"517" 517 20.8
"518" 518 13.9
"519" 519 16.1
"520" 520 18.4
"521" 521 20.9
"522" 522 17.5
"523" 523 17.2
"524" 524 18.4
"525" 525 20.3
"526" 526 20.9
"527" 527 18.4
"528" 528 15.8
"529" 529 18.4
"530" 530 20.8
"531" 531 23.7
"532" 532 23.9
"533" 533 21.4
"534" 534 14.4
"535" 535 13.6
"536" 536 17.5
"537" 537 19.7
"538" 538 22.3
"539" 539 23.6
"540" 540 21.1
"541" 541 21.2
"542" 542 19.5
"543" 543 17.8
"544" 544 21.1
"545" 545 23.4
"546" 546 23.3
"547" 547 18.6
"548" 548 16.9
"549" 549 17
"550" 550 19.5
"551" 551 14.8
"552" 552 14.5
"553" 553 17.8
"554" 554 24.7
"555" 555 21.4
"556" 556 20.8
"557" 557 21.1
"558" 558 22.8
"559" 559 18.6
"560" 560 17.8
"561" 561 17.2
"562" 562 17.8
"563" 563 20
"564" 564 21.7
"565" 565 20.9
"566" 566 20.9
"567" 567 20.6
"568" 568 18.4
"569" 569 15.6
"570" 570 18.7
"571" 571 20.3
"572" 572 17.5
"573" 573 16.4
"574" 574 20.6
"575" 575 21.1
"576" 576 22
"577" 577 22
"578" 578 20.9
"579" 579 19.2
"580" 580 21.7
"581" 581 24.2
"582" 582 22.5
"583" 583 25
"584" 584 21.7
"585" 585 16.9
"586" 586 15.6
"587" 587 16.1
"588" 588 15.6
"589" 589 18.6
"590" 590 19.8
"591" 591 18.4
"592" 592 18.9
"593" 593 20
"594" 594 17.5
"595" 595 15.9
"596" 596 16.1
"597" 597 23.9
"598" 598 17.3
"599" 599 15.9
"600" 600 17.8
"601" 601 19.8
"602" 602 22
"603" 603 24.2
"604" 604 23.6
"605" 605 23.9
"606" 606 24.8
"607" 607 22.2
"608" 608 23.9
"609" 609 22.8
"610" 610 18.6
"611" 611 17.5
"612" 612 17
"613" 613 13.1
"614" 614 11.4
"615" 615 17.2
"616" 616 17.5
"617" 617 17.5
"618" 618 21.1
"619" 619 18.4
"620" 620 17.2
"621" 621 18.9
"622" 622 20.6
"623" 623 15.9
"624" 624 12.8
"625" 625 13.4
"626" 626 13.9
"627" 627 10.9
"628" 628 7.3
"629" 629 6.7
"630" 630 7.5
"631" 631 8.6
"632" 632 9.7
"633" 633 12.5
"634" 634 10
"635" 635 10.6
"636" 636 10.3
"637" 637 10.9
"638" 638 12.8
"639" 639 11.4
"640" 640 11.1
"641" 641 16.4
"642" 642 16.7
"643" 643 13.1
"644" 644 10
"645" 645 11.4
"646" 646 13.1
"647" 647 12
"648" 648 12
"649" 649 8.9
"650" 650 13.4
"651" 651 7
"652" 652 6.2
"653" 653 5.9
"654" 654 16.2
"655" 655 11.7
"656" 656 9.5
"657" 657 13.6
"658" 658 10.9
"659" 659 5.9
"660" 660 6.2
"661" 661 8.1
"662" 662 3.7
"663" 663 1.1
"664" 664 0
"665" 665 2.5
"666" 666 1.7
"667" 667 -1.4
"668" 668 0.3
"669" 669 2.5
"670" 670 2.5
"671" 671 3.4
"672" 672 0.9
"673" 673 0.3
"674" 674 1.4
"675" 675 -2.5
"676" 676 -0.3
"677" 677 4.7
"678" 678 4.2
"679" 679 3.9
"680" 680 3.4
"681" 681 -2.2
"682" 682 -2.8
"683" 683 -1.4
"684" 684 -1.4
"685" 685 0.3
"686" 686 -0.8
"687" 687 -3.3
"688" 688 -4.7
"689" 689 -2.5
"690" 690 3.4
"691" 691 2.8
"692" 692 0.3
"693" 693 0
"694" 694 -3.6
"695" 695 0.9
"696" 696 3.1
"697" 697 3.6
"698" 698 1.2
"699" 699 2.8
"700" 700 4.5
"701" 701 2.8
"702" 702 3.1
"703" 703 2.3
"704" 704 2.5
"705" 705 4.8
"706" 706 2.2
"707" 707 0.8
"708" 708 0.6
"709" 709 -3.1
"710" 710 -7.8
"711" 711 -12.8
"712" 712 -12.2
"713" 713 -12.8
"714" 714 -15.3
"715" 715 -12.3
"716" 716 -6.4
"717" 717 -5.6
"718" 718 -3.9
"719" 719 -15
"720" 720 -18.6
"721" 721 -11.7
"722" 722 -4.2
"723" 723 -11.1
"724" 724 -12.2
"725" 725 -6.1
"726" 726 -16.7
"727" 727 -11.4
"728" 728 -7.5
"729" 729 -19.5
"730" 730 -19.5
